# Device ID to Name mapping
# Format: device_id | vendor | model | full_name
# Generated from: /Users/macbook/src/tollgate-os/external_profiles/23.05.5/ath79/generic/profiles.json
# Generated on: Sun Apr 20 17:22:51 CEST 2025

8dev_carambola2 | 8devices | Carambola2 | 8devices Carambola2
ubnt_edgeswitch-5xp | Ubiquiti | EdgeSwitch 5XP | Ubiquiti EdgeSwitch 5XP
ubnt_lap-120 | Ubiquiti | LiteAP ac (LAP-120) | Ubiquiti LiteAP ac (LAP-120)
ubnt_litebeam-ac-gen2 | Ubiquiti | LiteBeam AC | Ubiquiti LiteBeam AC (Gen2)
ubnt_nanobeam-ac | Ubiquiti | NanoBeam AC | Ubiquiti NanoBeam AC (Gen1)
ubnt_nanobeam-ac-gen2 | Ubiquiti | NanoBeam AC | Ubiquiti NanoBeam AC (Gen2)
ubnt_nanobeam-ac-xc | Ubiquiti | NanoBeam AC | Ubiquiti NanoBeam AC (Gen1 (XC))
ubnt_nanobeam-m5-xw | Ubiquiti | NanoBeam M5 | Ubiquiti NanoBeam M5 (XW)
ubnt_nanostation-ac | Ubiquiti | Nanostation AC | Ubiquiti Nanostation AC
ubnt_nanostation-ac-loco | Ubiquiti | Nanostation AC loco | Ubiquiti Nanostation AC loco
ubnt_nanostation-loco-m-xw | Ubiquiti | Nanostation Loco M | Ubiquiti Nanostation Loco M (XW)
ubnt_nanostation-m-xw | Ubiquiti | Nanostation M | Ubiquiti Nanostation M (XW)
